Title,Regular Price,Discount Price,Product URL,Add to Cart URL
Apple iPhone 14 Pro Max 256GB 6GB RAM,105.000ден,96.990ден,https://clevershop.mk/product/apple-iphone-14-pro-max-256gb-6gb-ram/,?add-to-cart=23600
Apple iPhone SE 128GB 3GB RAM,29.690ден,,https://clevershop.mk/product/apple-iphone-se-2020-128gb-3gb-ram/,?add-to-cart=18691
Apple iPhone SE 64GB 3GB RAM,32.990ден,,https://clevershop.mk/product/apple-iphone-se-2020-64gb-3gb-ram/,?add-to-cart=18945
Apple Watch Series 7,28.990ден,,https://clevershop.mk/product/apple-watch-series-7/,?add-to-cart=19657
Asus E410MA,10.990ден,,https://clevershop.mk/product/asus-e410ma/,?add-to-cart=22702
ASUS ROG GL531GT-XS53,44.990ден,,https://clevershop.mk/product/asus-rog-gl531gt-xs53/,?add-to-cart=20931
Asus ROG Strix G15 Advantage Edition G513,112.990ден,,https://clevershop.mk/product/asus-rog-strix-g15-advantage-edition-g513/,?add-to-cart=21336
Asus TUF Gaming F15 FX506LH,39.990ден,,https://clevershop.mk/product/asus-tuf-gaming-f15-fx506lh/,?add-to-cart=21950
ASUS TUF Gaming F17 FX706HEB,59.990ден,,https://clevershop.mk/product/asus-tuf-gaming-f17-fx706heb/,?add-to-cart=20967
ASUS TUF Gaming NVIDIA GeForce RTX 3070 V2 OC Edition Video Card,75.990ден,,https://clevershop.mk/product/asus-tuf-gaming-nvidia-geforce-rtx-3070-v2-oc-edition-video-card/,?add-to-cart=17873
"DELL 23,8″ P2421D IPS LED-backlit LCD monitor",16.590ден,,https://clevershop.mk/product/dell-238-p2421d-ips-led-backlit-lcd-monitor/,?add-to-cart=17338
DELL AW2521HFLA 24.5″ FHD,20.490ден,,https://clevershop.mk/product/dell-aw2521hfla-24-5-fhd/,?add-to-cart=17415
DELL AW2721D 27″ QHD 2560 x 1440,39.990ден,,https://clevershop.mk/product/dell-aw2721d-27-qhd-2560-x-1440/,?add-to-cart=17422
DELL Curved S2422HG 23.6″ VA LED-backlit LCD,16.590ден,,https://clevershop.mk/product/dell-curved-s2422hg-23-6-va-led-backlit-lcd/,?add-to-cart=17393
Dell G15 5511 Gaming Laptop,104.990ден,,https://clevershop.mk/product/dell-g15-5511-gaming-laptop/,?add-to-cart=21340
DELL Monitor E2222HS  21.5″ VA,9.490ден,,https://clevershop.mk/product/dell-monitor-e2222hs-21-5-va/,?add-to-cart=17118
"DELL Monitor E2420HS, 23.8″ IPS Led AG",11.690ден,,https://clevershop.mk/product/dell-monitor-e2420hs-23-8-ips-led-ag/,?add-to-cart=17253
"DELL Monitor E2720H, 27.0″",11.990ден,,https://clevershop.mk/product/dell-monitor-e2720h-27-0/,?add-to-cart=17271
DELL Monitor E2720HS 27.0″,12.290ден,,https://clevershop.mk/product/dell-monitor-e2720hs-27-0-ips-led-ag/,?add-to-cart=17260
"DELL Monitor P2222H, 22” Full HD",12.290ден,,https://clevershop.mk/product/dell-monitor-p2222h-22-full-hd/,?add-to-cart=17317
"DELL Monitor S2721HS, 27″, IPS LED-backlit LCD",14.490ден,,https://clevershop.mk/product/dell-monitor-s2721hs-27-ips-led-backlit-lcd/,?add-to-cart=17291
